Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,12.606195068359398,0.9147339,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1851,12.787530517578148,1.1655121,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1852,12.776818847656273,0.5288849,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1853,12.851434326171898,0.73880005,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1854,12.946374511718773,0.92533875,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1855,12.857507324218773,0.55970764,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1856,12.982904052734398,0.9824066,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1857,12.941094970703148,0.3880005,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1858,12.877557373046898,0.68611145,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1859,12.994439697265648,1.0161438,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1860,12.828637695312523,1.0606384,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1861,13.009027099609398,0.38249207,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1862,12.613000488281273,0.22879028,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1863,12.742181396484398,1.2459717,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1864,12.840631103515648,1.0335693,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1865,12.951989746093773,0.8628082,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1866,13.082971191406273,0.82188416,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1867,12.936914062500023,0.40470886,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1868,12.796044921875023,0.53282166,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1869,12.739495849609398,1.0134125,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1870,12.865869140625023,1.0991669,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1871,12.951837158203148,0.7002716,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1872,13.062677001953148,1.1333771,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1873,13.062493896484398,0.42297363,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1874,12.971673583984398,0.78689575,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1875,12.877893066406273,0.70999146,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1876,12.996484375000023,0.986969,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1877,13.006097412109398,0.4181366,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1878,12.895989990234398,0.554718,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1879,12.823968505859398,0.7955017,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1880,12.907556152343773,0.70622253,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1881,12.809747314453148,0.6191864,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1882,12.653527832031273,0.58625793,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1883,12.564996337890648,0.469162,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1884,12.416741943359398,-0.45195007,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1885,12.492791748046898,0.5668335,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1886,12.631860351562523,0.8536377,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1887,12.571954345703148,0.26037598,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1888,12.575128173828148,1.3813782,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1889,12.565698242187523,0.9205322,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1890,12.784997558593773,0.9128113,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1891,12.643975830078148,0.6985321,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
1892,12.855554199218773,0.9578552,tas_toa,IPSL_IPSL-CM6A-LR,r1i1p1f1
